ANA_HAT_NO;ALT_HAT_NO;TARIH;SAAT;BINIS_SAYISI
1;0;2021-01-01;8;1
1;0;2021-01-01;14;1
1;0;2021-01-04;7;2
1;0;2021-01-04;8;1
1;0;2021-01-04;10;1
1;0;2021-01-04;12;3
1;0;2021-01-04;14;1
1;0;2021-01-04;15;2
1;0;2021-01-04;17;1
1;0;2021-01-04;20;1
1;0;2021-01-05;10;2
1;0;2021-01-05;14;1
1;0;2021-01-05;15;1
1;0;2021-01-05;18;1
1;0;2021-01-06;8;1
1;0;2021-01-06;9;1
1;0;2021-01-06;14;1
1;0;2021-01-06;15;1
1;0;2021-01-07;14;1
1;0;2021-01-07;15;2
1;0;2021-01-07;18;1
1;0;2021-01-07;20;2
1;0;2021-01-08;12;1
1;0;2021-01-08;13;2
1;0;2021-01-08;15;1
1;0;2021-01-08;19;1
1;0;2021-01-09;17;2
1;0;2021-01-11;11;1
1;0;2021-01-11;12;1
1;0;2021-01-11;15;1
1;0;2021-01-11;16;1
1;0;2021-01-11;18;1
1;0;2021-01-11;19;2
1;0;2021-01-12;7;1
1;0;2021-01-12;13;2
1;0;2021-01-12;14;1
1;0;2021-01-12;18;1
1;0;2021-01-13;7;3
1;0;2021-01-13;9;1
1;0;2021-01-13;12;1
1;0;2021-01-14;8;1
1;0;2021-01-14;13;1
1;0;2021-01-14;14;1
1;0;2021-01-14;19;1
1;0;2021-01-14;20;1
1;0;2021-01-15;8;1
1;0;2021-01-15;9;1
1;0;2021-01-15;14;1
1;0;2021-01-15;15;2
1;0;2021-01-15;16;1
1;0;2021-01-17;7;1
1;0;2021-01-18;7;1
1;0;2021-01-18;12;1
1;0;2021-01-18;13;2
1;0;2021-01-18;15;1
1;0;2021-01-18;16;1
1;0;2021-01-18;19;1
1;0;2021-01-18;20;1
1;0;2021-01-19;7;1
1;0;2021-01-19;9;1
1;0;2021-01-19;15;1
1;0;2021-01-19;16;2
1;0;2021-01-19;17;2
1;0;2021-01-19;18;1
1;0;2021-01-19;21;1
1;0;2021-01-20;10;1
1;0;2021-01-20;15;3
1;0;2021-01-21;13;3
1;0;2021-01-21;17;2
1;0;2021-01-21;19;2
1;0;2021-01-22;10;1
1;0;2021-01-22;12;1
1;0;2021-01-22;13;1
1;0;2021-01-22;14;4
1;0;2021-01-22;15;3
1;0;2021-01-24;8;1
1;0;2021-01-24;14;1
1;0;2021-01-24;18;2
1;0;2021-01-25;14;1
1;0;2021-01-25;18;1
1;0;2021-01-25;21;1
1;0;2021-01-26;9;1
1;0;2021-01-26;13;1
1;0;2021-01-26;15;2
1;0;2021-01-26;17;2
1;0;2021-01-26;18;2
1;0;2021-01-26;19;1
1;0;2021-01-27;11;1
1;0;2021-01-27;16;2
1;0;2021-01-27;17;2
1;0;2021-01-27;19;1
