ANA_HAT_NO;ALT_HAT_NO;TARIH;SAAT;BINIS_SAYISI
1;0;2020-03-01;0;12
1;0;2020-03-01;7;67
1;0;2020-03-01;8;186
1;0;2020-03-01;9;192
1;0;2020-03-01;10;83
1;0;2020-03-01;11;156
1;0;2020-03-01;12;270
1;0;2020-03-01;13;372
1;0;2020-03-01;14;266
1;0;2020-03-01;15;245
1;0;2020-03-01;16;342
1;0;2020-03-01;17;369
1;0;2020-03-01;18;260
1;0;2020-03-01;19;219
1;0;2020-03-01;20;273
1;0;2020-03-01;21;163
1;0;2020-03-01;22;85
1;0;2020-03-02;0;29
1;0;2020-03-02;6;24
1;0;2020-03-02;7;417
1;0;2020-03-02;8;594
1;0;2020-03-02;9;405
1;0;2020-03-02;10;291
1;0;2020-03-02;11;345
1;0;2020-03-02;12;455
1;0;2020-03-02;13;364
1;0;2020-03-02;14;545
1;0;2020-03-02;15;737
1;0;2020-03-02;16;594
1;0;2020-03-02;17;340
1;0;2020-03-02;18;381
1;0;2020-03-02;19;295
1;0;2020-03-02;20;341
1;0;2020-03-02;21;202
1;0;2020-03-02;22;160
1;0;2020-03-02;23;83
1;0;2020-03-03;0;14
1;0;2020-03-03;6;28
1;0;2020-03-03;7;361
1;0;2020-03-03;8;577
1;0;2020-03-03;9;312
1;0;2020-03-03;10;214
1;0;2020-03-03;11;367
1;0;2020-03-03;12;412
1;0;2020-03-03;13;327
1;0;2020-03-03;14;486
1;0;2020-03-03;15;778
1;0;2020-03-03;16;701
1;0;2020-03-03;17;523
1;0;2020-03-03;18;384
1;0;2020-03-03;19;284
1;0;2020-03-03;20;289
1;0;2020-03-03;21;235
1;0;2020-03-03;22;133
1;0;2020-03-03;23;99
1;0;2020-03-04;0;16
1;0;2020-03-04;6;32
1;0;2020-03-04;7;353
1;0;2020-03-04;8;693
1;0;2020-03-04;9;361
1;0;2020-03-04;10;152
1;0;2020-03-04;11;317
1;0;2020-03-04;12;314
1;0;2020-03-04;13;345
1;0;2020-03-04;14;502
1;0;2020-03-04;15;628
1;0;2020-03-04;16;515
1;0;2020-03-04;17;263
1;0;2020-03-04;18;457
1;0;2020-03-04;19;203
1;0;2020-03-04;20;356
1;0;2020-03-04;21;213
1;0;2020-03-04;22;121
1;0;2020-03-04;23;79
1;0;2020-03-05;0;16
1;0;2020-03-05;6;12
1;0;2020-03-05;7;227
1;0;2020-03-05;8;380
1;0;2020-03-05;9;488
1;0;2020-03-05;10;236
1;0;2020-03-05;11;301
1;0;2020-03-05;12;426
1;0;2020-03-05;13;335
1;0;2020-03-05;14;515
1;0;2020-03-05;15;816
1;0;2020-03-05;16;469
1;0;2020-03-05;17;456
1;0;2020-03-05;18;414
1;0;2020-03-05;19;192
1;0;2020-03-05;20;223
1;0;2020-03-05;21;120
1;0;2020-03-05;22;127
1;0;2020-03-05;23;66
1;0;2020-03-06;0;9
1;0;2020-03-06;6;58
1;0;2020-03-06;7;249
1;0;2020-03-06;8;466
1;0;2020-03-06;9;305
1;0;2020-03-06;10;100
1;0;2020-03-06;11;258
1;0;2020-03-06;12;470
1;0;2020-03-06;13;273
1;0;2020-03-06;14;368
1;0;2020-03-06;15;413
