LAT;LNG;Durak_Isim;Durak_Kodu
37.866175;32.5275417;BABADAĞI;1000a
37.8661833;32.5274333;BABADAĞI;1000d
37.8630333;32.52835;TAŞKIN PAŞA;1001a
37.86295;32.5282333;TAŞKIN PAŞA;1001d
37.8623417;32.52647;TÜTÜNCÜ;1002a
37.8625083;32.52643;TÜTÜNCÜ;1002d
37.86165;32.53067;ÇAYIR CAMİİ;1003a
37.8618834;32.53059;ÇAYIR CAMİİ;1003d
37.8612066;32.534;ŞİRİNELİ;1004a
37.8613767;32.534;ŞİRİNELİ;1004d
37.860935;32.53653;AKGÖL;1005a
37.8610267;32.53664;AKGÖL;1005d
37.86055;32.54037;CEMİL ÇİÇEK;1006a
37.86075;32.54038;CEMİL ÇİÇEK;1006d
37.870287;32.535682;GUFRAN;1007a
37.870245;32.535339;GUFRAN;1007d
37.8607083;32.54321;ADLİYE SARAYI;1008a
37.8607167;32.54282;ADLİYE SARAYI;1008d
37.866588;32.543497;CEZAEVİ;1009a
37.866579;32.543247;CEZAEVİ;1009d
37.86664;32.4750692;BABİL;100a
37.8666417;32.4751283;BABİL;100d
37.86715;32.543;ADALET PARKI;1010a
37.86705;32.543;ADALET PARKI;1010d
37.8670167;32.5373;ÖZBAŞAK;1011a
37.8669333;32.53732;ÖZBAŞAK;1011d
37.866925;32.53371;ÇİFTELER;1012a
37.86685;32.53368;ÇİFTELER;1012d
37.8668084;32.53018;ADALET KONUTLARI;1013a
37.8667583;32.53008;ADALET KONUTLARI;1013d
37.8708;32.50982;GAZİLER DERNEĞİ;1014a
37.872233;32.507606;GAZİLER DERNEĞİ;1014d
37.870575;32.51242;NAMIK PAŞA CAMİİ;1015a
37.871418;32.511983;NAMIK PAŞA CAMİİ;1015d
37.8704;32.51578;MEVLANA KÜLTÜR MERKEZİ;1016a
37.8706;32.51588;MEVLANA KÜLTÜR MERKEZİ;1016d
37.8703167;32.51942;ADİLE SULTAN;1017a
37.8705167;32.51942;ADİLE SULTAN;1017d
37.8700833;32.52402;HACI KALFA;1018a
37.8702833;32.52397;HACI KALFA;1018d
37.8696334;32.52813;ZELİHA SEYMEN İLKOKULU;1019a
37.8698333;32.52809;ZELİHA SEYMEN İLKOKULU;1019d
37.8674493;32.472535;HAVZAN;101a
37.8674833;32.4725333;HAVZAN;101d
37.8688333;32.53452;SPOR VE KONGRE MERKEZİ;1020a
37.86905;32.53408;SPOR VE KONGRE MERKEZİ;1020d
37.8687167;32.53845;NEFER;1021a
37.8689167;32.53847;NEFER;1021d
37.8687167;32.54167;AKRABA;1022a
37.8689167;32.54157;AKRABA;1022d
37.8688;32.54427;İNEBAHTI;1023a
37.8690167;32.54473;İNEBAHTI;1023d
37.8689167;32.5518;TİFTİKCİ;1024a
37.86915;32.55163;TİFTİKCİ;1024d
37.868525;32.55476;HOBİ BAHÇESİ;1025a
37.8687334;32.55482;HOBİ BAHÇESİ;1025d
37.86805;32.55789;ULUYATIR;1026a
37.868225;32.55839;ULUYATIR;1026d
37.86666884;32.566456;İŞBİTİREN;1027a
37.867094;32.566356;İŞBİTİREN;1027d
37.87595;32.5374083;FETİHKENT İLKOKULU;1028a
37.876275;32.537325;FETİHKENT İLKOKULU;1028d
37.8663;32.57007;VATAN SANAYİ;1029a
37.8664917;32.57025;VATAN SANAYİ;1029d
37.8667666;32.4693334;OLTU;102a
37.8668833;32.4696;OLTU;102d
37.8658584;32.57299;KARATAY BELEDİYESİ TATLICAK TESİSLERİ;1030a
37.8661;32.57338;KARATAY BELEDİYESİ TATLICAK TESİSLERİ;1030d
37.864937;32.581329;TAŞTEPE;1031a
37.864594;32.581222;TAŞTEPE;1031d
37.8636667;32.58768;TÜRKAN;1032a
37.86385;32.58783;TÜRKAN;1032d
37.8630333;32.59196;MASAL;1033a
37.8632083;32.5922;MASAL;1033d
37.8625833;32.59493;TAŞÇILAR ;1034a
37.86275;32.59517;TAŞÇILAR ;1034d
37.861275;32.60372;BAĞLICA;1035a
37.86145;32.60393;BAĞLICA;1035d
37.8605583;32.60843;YÜCESOY;1036a
37.860775;32.60841;YÜCESOY;1036d
37.85877;32.61357;AÇMA;1037a
37.8587217;32.61365;AÇMA;1037d
37.8588833;32.61965;TEZER;1038a
37.8590333;32.61987;TEZER;1038d
37.85805;32.62522;KIVAMLI;1039a
37.858275;32.62503;KIVAMLI;1039d
37.8650166;32.4660833;5 NOLU SAĞLIK OCAĞI;103a
37.86525;32.4659167;5 NOLU SAĞLIK OCAĞI;103d
37.8597;32.61353;YEŞİLBURSA;1040a
37.86005;32.61351;YEŞİLBURSA;1040d
37.8571916;32.63248;OVALI;1041a
37.8573333;32.63283;OVALI;1041d
37.8558667;32.64358;NAZIM;1042a
37.8560667;32.64375;NAZIM;1042d
37.8551167;32.65012;KARABAY;1043a
37.8553;32.65042;KARABAY;1043d
37.8541917;32.6579;KASIMPATI;1044a
37.8544;32.658;KASIMPATI;1044d
37.703;32.57303;BATI;1045d
37.8752417;32.5139917;CELAL ŞAHİN;1046a
37.875325;32.5136583;CELAL ŞAHİN;1046d
37.8526;32.67095;KONYA EREĞLİ 3;1047a
37.8528;32.67103;KONYA EREĞLİ 3;1047d
37.8490167;32.7015;BAKIRTOLU YOLU;1048a
37.8492333;32.70143;BAKIRTOLU YOLU;1048d
37.8480167;32.71008;ÇARŞAMBA ÇAYI 2;1049a
37.84832;32.71031;ÇARŞAMBA ÇAYI 2;1049d
37.8647083;32.469375;ADALETLİ;104a
37.8647167;32.4691333;ADALETLİ;104d
37.8470167;32.72088;KONYA EREĞLİ ;1050d
37.8447;32.74181;KONYA EREĞLİ 2;1051d
37.84521;32.73694;KONYA EREĞLİ 4;1052d
37.8792248;32.5119591;AYAZ;1053a
37.8792083;32.511825;AYAZ;1053d
