Ilce;Mahalle;MAH_CD_SK_SAYISI;ILCE_CDSK_SAYI;YAPI;EK_BINA;GECICI;INSAAT;ISYERI_SAYISI;KAMU_ISYERI;KONUT;NUFUS;OZEL_ISYERI;YAZLIK_MEVSIMLIK
AHIRLI;AKKISE;21;289;177;0;0;6;4;2;185;518;8;1
AHIRLI;ALICERCI;16;289;130;0;0;2;;2;136;106;1;0
AHIRLI;BADEMLI;21;289;252;0;0;0;3;4;266;313;5;2
AHIRLI;BALIKLAVA;18;289;133;0;0;3;;3;137;186;2;9
AHIRLI;BUYUKOZ;9;289;55;0;1;0;;1;57;47;0;2
AHIRLI;CIFTLIK;19;289;145;0;0;4;3;3;150;221;3;2
AHIRLI;CUKURBUCAK;20;289;173;0;0;0;4;5;190;510;5;1
AHIRLI;ERDOGAN;15;289;81;0;0;1;;5;79;67;0;0
AHIRLI;HAMZALAR;32;289;343;0;0;6;48;7;369;609;60;11
AHIRLI;HENGEME;39;289;306;0;0;19;37;8;435;882;44;1
AHIRLI;KARACAKUYU;17;289;53;0;0;0;;2;52;49;1;1
AHIRLI;KAYACIK;19;289;114;0;0;7;1;3;126;108;4;5
AHIRLI;KURUCAY;52;289;665;0;3;3;2;9;687;87;2;24
AHIRLI;KUCUKOZ;9;289;25;0;0;0;;1;25;21;0;1
AHIRLI;MERKEZ;61;289;505;0;0;15;54;29;608;1023;64;2
AKOREN;AGALAR;64;372;505;0;0;8;123;33;704;955;148;17
AKOREN;AHMEDIYE;15;372;33;0;0;1;1;9;34;74;6;1
AKOREN;ALANKOY;28;372;179;0;0;5;7;7;185;293;18;5
AKOREN;AVDAN;48;372;421;0;0;2;30;12;432;800;41;2
AKOREN;BELKUYU;16;372;95;0;0;2;2;4;96;288;4;0
AKOREN;CATOREN;29;372;138;0;0;10;3;7;153;259;6;32
AKOREN;DUTLU;12;372;37;0;0;2;;3;37;36;0;0
AKOREN;HACILAR;30;372;174;0;0;5;61;12;183;281;71;1
AKOREN;KARAHUYUK;32;372;170;0;0;14;5;6;182;346;12;9
AKOREN;KAYASU;38;372;338;0;0;7;12;11;352;510;13;23
AKOREN;ORHANIYE;30;372;180;0;0;6;4;7;190;290;22;6
AKOREN;SULEYMANIYE;18;372;95;0;0;6;2;7;97;185;12;3
AKOREN;TULCE;52;372;403;0;0;4;38;10;432;751;45;13
AKOREN;YENI;17;372;101;0;0;25;9;12;380;585;14;2
AKSEHIR;ADSIZ;89;2162;1149;0;0;9;105;25;1270;2764;107;1
AKSEHIR;AHICELAL;12;2162;120;0;0;0;31;3;149;236;37;0
AKSEHIR;ALANYURT;36;2162;171;0;0;10;6;3;197;326;10;0
AKSEHIR;ALTUNKALEM;32;2162;549;0;0;4;42;12;2256;4791;49;0
AKSEHIR;ALTUNTAS;88;2162;832;0;0;28;125;16;957;1811;121;0
AKSEHIR;ANIT;22;2162;296;0;0;1;3;8;348;719;3;0
