"ANA_HAT_NO";"ALT_HAT_NO";"ANA_HAT_ADI";"ALT_HAT_ADI";"DURAK_SAYISI";"UZUNLUK"
"1";"0";"HOCAFAKIH TIP FAKÜLTESÝ ";"HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN";"83";"0"
"1";"1";"HOCAFAKIH TIP FAKÜLTESÝ ";"HOCAFAKIH TIP FAKÜLTESÝ DÖRTOKKA";"80";"0"
"2";"0";"MERAM YAKA";"MERAM YAKA ANASULTAN";"60";"22,082"
"2";"1";"MERAM YAKA";"MERAM YAKA DÖRTOKKA";"58";"21,329"
"3";"0";"DERE YENÝYOL ÇÝMENLÝK";"DERE YENÝYOL ÇÝMENLÝK";"96";"32,135"
"4";"0";"MERAM YENÝ YOL";"MERAM YENÝYOL ANASULTAN";"56";"19,661"
"4";"1";"MERAM YENÝ YOL";"MERAM YENÝYOL DÖRTOKKA";"55";"18,942"
"5";"0";"FETÝH MAH TRAMVAY";"FETÝH MAH  TRAMVAY";"43";"0"
"5";"1";"FETÝH MAH TRAMVAY";"TRAMVAY FETÝH MAH";"43";"0"
"6";"0";"MERAM ESKÝYOL HAVZAN";"MERAM ESKÝYOL HAVZAN";"75";"25,643"
"7";"0";"DURUNDAY YORGANCI";"DURUNDAY YORGANCI";"58";"26,188"
"7";"1";"DURUNDAY YORGANCI";"DURUNDAY YORGANCI TOPRAKSARNIÇ";"83";"27,118"
"8";"0";"KOVANAÐZI";"KOVANAÐZI";"79";"27,885"
"9";"0";"LALEBAHÇE GÜLBAHÇE";"LALEBAHÇE GÜLBAHÇE";"63";"20,305"
"9";"1";"LALEBAHÇE GÜLBAHÇE";"LALEBAHÇE GÜLBAHÇE ÇALIKLI";"83";"25,253"
"9";"2";"LALEBAHÇE GÜLBAHÇE";"LALEBAHÇE GÜLBAHÇE TATBÝKAT SOKAK";"66";"23,118"
"10";"0";"TRAMVAY";"ALAADDÝN TRAMVAY KAMPÜS ÝÇÝ";"61";"0"
"10";"1";"TRAMVAY";"ALAADDÝN - KAMPÜS";"61";"40,024"
"10";"2";"TRAMVAY";"ALAADDÝN - ADLÝYE SARAYI";"16";"0"
"10";"3";"TRAMVAY";"BÝSÝKLET TRAMVAYI";"0";"0"
"11";"0";"KARAHÜYÜK HARMANCIK";"KARAHÜYÜK HARMANCIK";"103";"31,551"
"11";"1";"KARAHÜYÜK HARMANCIK";"KARAHÜYÜK HARMANCIK OLCAY";"104";"0"
"11";"2";"KARAHÜYÜK HARMANCIK";"KARAHÜYÜK HARMANCIK TOKALI";"109";"28,401"
"12";"0";"KOZAÐAÇ";"KOZAÐAÇ BEYBES";"133";"46,392"
"12";"1";"KOZAÐAÇ";"KOZAÐAÇ BEYBES GONCAKÖY";"135";"44,956"
"13";"0";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP GÖDENE ÇAYIRBAÐ";"149";"54,714"
"13";"1";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP ÇAYIRBAÐ GÖDENE";"147";"55,603"
"13";"2";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP ÇAYIRBAÐ GÖDENE BEYBES";"149";"55,144"
"13";"3";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP BEYBES GÖDENE ÇAYIRBAÐ";"148";"53,436"
"13";"4";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP GÖDENE ÇAYIRBAÐ KARADÝÐÝN";"170";"70,562"
"13";"5";"HATIP GÖDENE ÇAYIRBAÐI";"HATIP KOZAÐAÇ BEYBES GÖDENE ÇAYIRBAÐ";"157";"57,739"
"14";"0";"AHMET ÖZCAN CAD FETÝH CAD";"AHMET ÖZCAN CAD FETÝH CAD";"99";"33,266"
"15";"0";"AYDOÐDU ÝÞGALAMAN";"AYDOÐDU ÝÞGALAMAN";"75";"23,395"
"16";"0";"ASARÇAY ELMACI";"ASARÇAY ELMACI";"122";"44,46"
"17";"0";"TIRILIRMAK KAÞ";"TIRILIRMAK KAÞ";"93";"33,197"
"18";"0";"ADANA ÇEVRE YOLU ORGANÝZE";" ADANA ÇEVREYOLU ORGANÝZE";"167";"0"
"19";"0";"KURTULUÞ";"KURTULUÞ";"118";"40,77"
"20";"0";"UZUNHARMANLAR";"UZUNHARMANLAR";"105";"32,548"
"21";"0";"KALFALAR";"KALFALAR";"84";"29,586"
"22";"0";"ALAKOVA YENÝBAHÇE OTUZEVLER AKTARMA";"ALAKOVA YENÝBAHÇE OTUZEVLER";"36";"13,623"
"23";"0";"BÜYÜK AYMANAS";"BÜYÜK AYMANAS";"115";"35,924"
"24";"0";"ZÝYA BARLAS";"ZÝYA BARLAS";"116";"36,817"
"24";"1";"ZÝYA BARLAS";"ZÝYA BARLAS MARAÞ CAD";"117";"36,39"
"25";"0";"DERE MERAM TIP";"DERE MERAM TIP";"116";"40,644"
"26";"0";"ÇATALHÜYÜK";"ÇATALHÜYÜK";"138";"61,162"
"27";"0";"SELÝM SULTAN";"SELÝM SULTAN";"124";"43,711"
"28";"0";"TAÞRA DEDE";"TAÞRA DEDE ";"120";"39,592"
"29";"0";"ULUIRMAK";"ULUIRMAK";"62";"21,637"
"30";"0";"MENGENE ÝSTÝKLAL 1";"MENGENE ÝSTÝKLAL 1";"106";"21,57"
"31";"0";"SARAÇOÐLU";"SARAÇOÐLU";"109";"34,459"
"31";"1";"SARAÇOÐLU";"SARAÇOÐLU ERLER";"119";"41,441"
"31";"2";"SARAÇOÐLU";"SARAÇOÐLU ALTINOLUK KANAL";"122";"38,95"
"31";"3";"SARAÇOÐLU";"SARAÇOÐLU KANAL ALTINOLUK";"123";"42,102"
"32";"0";"BAÞAK";"BAÞAK";"99";"31,527"
"32";"1";"BAÞAK";"BAÞAK ÇÝFTLÝK";"106";"39,984"
"34";"0";"BÝLÝM MERKEZÝ";"BÝLÝM MERKEZÝ";"97";"0"
"36";"0";"TATLICAK";"TATLICAK";"104";"29,888"
"36";"1";"TATLICAK";"TATLICAK ÇÝFTLÝK";"114";"39,2"
"37";"0";"SEDÝRLER";"SEDÝRLER";"65";"22,374"
"38";"0";"ADLÝYE MEVLANA GAR";"ADLÝYE MEVLANA GAR";"22";"7"
"38";"1";"ADLÝYE MEVLANA GAR";"GAR MEVLANA ADLÝYE";"20";"0"
"39";"1";"KEÇECÝLER YEDÝLER";"KEÇECÝLER";"85";"26,3"
"40";"0";"MARSAN BÜSAN AYKENT";"MARSAN BÜSAN AYKENT";"104";"57,927"
"41";"0";"KARAKAYIÞ";"KARAKAYIÞ";"76";"27,252"
"42";"0";"FEVZÝ ÇAKMAK";"FEVZÝ ÇAKMAK";"85";"46,177"
"43";"0";"PINARBAÞI";"PINARBAÞI";"133";"64,884"
"43";"1";"PINARBAÞI";"PINARBAÞI SARICALAR ÇALTI";"144";"95,518"
"44";"0";"2. ORGANÝZE SAN";"AKSARAY YOLU 2. ORGANÝZE KAYACIK";"106";"49,567"
