ANA_HAT_NO;ALT_HAT_NO;DURAK_NO;SIRA;ISTIKAMET
1;0;2100a;1;ALAADDÝN
1;0;81a;2;ALAADDÝN
1;0;80a;3;ALAADDÝN
1;0;79a;4;ALAADDÝN
1;0;78a;5;ALAADDÝN
1;0;77a;6;ALAADDÝN
1;0;76a;7;ALAADDÝN
1;0;75d;8;ALAADDÝN
1;0;74a;9;ALAADDÝN
1;0;48a;10;ALAADDÝN
1;0;70a;11;ALAADDÝN
1;0;69a;12;ALAADDÝN
1;0;68a;13;ALAADDÝN
1;0;67a;14;ALAADDÝN
1;0;93a;15;ALAADDÝN
1;0;92a;16;ALAADDÝN
1;0;1523a;17;ALAADDÝN
1;0;1524a;18;ALAADDÝN
1;0;1819a;19;ALAADDÝN
1;0;1818a;20;ALAADDÝN
1;0;1817a;21;ALAADDÝN
1;0;1816a;22;ALAADDÝN
1;0;1815a;23;ALAADDÝN
1;0;1814a;24;ALAADDÝN
1;0;1813a;25;ALAADDÝN
1;0;90a;26;ALAADDÝN
1;0;89a;27;ALAADDÝN
1;0;88a;28;ALAADDÝN
1;0;87a;29;ALAADDÝN
1;0;86a;30;ALAADDÝN
1;0;85a;31;ALAADDÝN
1;0;84a;32;ALAADDÝN
1;0;83a;33;ALAADDÝN
1;0;82a;34;ALAADDÝN
1;0;56a;35;ALAADDÝN
1;0;55a;36;ALAADDÝN
1;0;54a;37;ALAADDÝN
1;0;9a;38;ALAADDÝN
1;0;10a;39;ALAADDÝN
1;0;11a;40;ALAADDÝN
1;0;26a;41;ALAADDÝN
1;0;27a;42;ALAADDÝN
1;0;2415a;43;MERAM SON DURAK
1;0;2426a;44;MERAM SON DURAK
1;0;8d;45;MERAM SON DURAK
1;0;54d;46;MERAM SON DURAK
1;0;55d;47;MERAM SON DURAK
1;0;56d;48;MERAM SON DURAK
1;0;82d;49;MERAM SON DURAK
1;0;83d;50;MERAM SON DURAK
1;0;84d;51;MERAM SON DURAK
1;0;85d;52;MERAM SON DURAK
1;0;86d;53;MERAM SON DURAK
1;0;87d;54;MERAM SON DURAK
1;0;88d;55;MERAM SON DURAK
1;0;89d;56;MERAM SON DURAK
1;0;90d;57;MERAM SON DURAK
1;0;1813d;58;MERAM SON DURAK
1;0;1814d;59;MERAM SON DURAK
1;0;2324d;60;MERAM SON DURAK
1;0;1815d;61;MERAM SON DURAK
1;0;1816d;62;MERAM SON DURAK
1;0;1817d;63;MERAM SON DURAK
1;0;1818d;64;MERAM SON DURAK
1;0;1819d;65;MERAM SON DURAK
